restname,address,opening hours,contact,rating,conclusion
Jin Cuisine,"Amoy Hotel, 01-02 Far East Square, 74 Telok Ayer St, Singapore 048464","
Opening hours:
Breakfast: 7:00AM to 10:00AM
Lunch: 10:30AM to 2:30PM
Dinner: 6:00PM to 10:00PM",65366258,,"The $80 Sushi course is currently on promotion:  Please click
for details."
Kanda Wadatsuni,"50 Tras Street, , Singapore 078989","
Opening hours:
Lunch: 12:00PM to 3:00PM
Dinner: 6:00PM to 11:00PM
Closed:
Sun",6221 6264,,Thanks to the support of the management and staff of Kanda Wadatsunmi for making this project possible.
Shanghai Xiao Long Bao,"Old Airport Road Food Centre, 19 Old Airport Rd, Stall 109, Singapore 390019","
Opening hours:
12:00PM to 10:00PM
Closed:
Mon",82463160,,
Wee's Family Coffee Shop,"Blk 117, Bedok Reservoir Road, #01-50, Singapore 470117","
Opening hours:
11:30AM to 11:00PM",6743 7482/9049 0199,"4.5/5
4.5/5
4.25/5
3.75/5
3.5/5
4/5","This is a very competent Zi Char in the Bedok area that is worth checking out. The standard is much better than your average neighbourhood Zi Char.  Milton is quite particular about his food, so the dishes are well curated.  He also happens to own a wine shop and wine-lovers will appreciate the fact that corkage is free and you are welcome to bring a few bottles of your own!"
Springfield Prata Place,"57B Jalan Tua Kong, Singapore 457251","
Opening hours:
7:00AM to 12:00AM",86935393,4.5/5,
Coffee Break,"Amoy Street Food Centre, 7 Maxwell Road , Singapore 069111","
Opening hours:
7:30AM to 2:30PM
Closed:
Sat/Sun",81006218,"4.25/5
4/5","It is fantastic to see young Singaporeans who are passionate about brewing traditional sock kopi!  Such kopi sock artisans are a dying breed as most of our young people are going the way of the espresso.   Hopefully, more will notice their success and follow their lead.  The market is already saturated with cafes and mass market kopi chains when what we need are more places like Coffee Break which are serving artisanal kopi!"
818 Durians and Pastries,"201 Telok Kurau Road #01-02 , Singapore  423910","
Opening hours:
Season: 11:00AM to 11:00PM
Off Season: 11:00AM to 8:00PM
Closed:
Off Season Closed Monday",96932727,4.75/5,Thanks to Meng Chiang for hosting the durian sampling.
Plank Sourdough Pizza,"1 Swan Lake, Singapore 455700","
Opening hours:
Lunch: 12:00PM to 2:00PM
Dinner: 6:00PM to 10:00PM",6448 9288,4.5/5,My relationship with Plank started with a media invited tasting. Since then I have worked with Dean on the pizzas purely out of interest and not as a paid consultant. Dean has also been guiding me in my own sourdough bread making journey.
Fei Fei Roasted Noodles,"Yuhua Village Food Centre Stall 28, 254 Jurong East Street 24, Singapore 600254","
Opening hours:
9:15AM to 1:00PM
Closed:
Tuesdays",,,"If you like your char siew chunky and your noodles springy, then this stall might just be the holy grail of wanton mee you are looking for!  The stall owners put an amazing amount of effort into roasting the char siew, making the wantons, the chilli, the noodles and the sauce to produce a plate of wanton mee chock full of chunky, freshly roasted charsiew for just $3 a plate!  No wonder there is a perpetual queue outside the stall for the 4 hours that they are open!"
Yi Liu Xiang Nasi Lemak,"105 Hougang Avenue 1, Hainanese Village Market #02-30, Singapore 530105","
Opening hours:
6:30AM to 12:00PM
Closed:
Mon, Thurs",,"4.5/5
4.5/5","After much deliberation, I finally gave a
rating to Yi Liu Xiang despite the fact that I feel that there were several things missing to make it the perfect Nasi Lemak.  I came to this conclusion because ever since I first ate there, I have been back almost every week since to buy it for myself and my staff.  So the 4.5/5 rating reflects that “need to eat every week” quality of the dish!  For the perfect Nasi Lemak, I imagine that I would buy the rice, chilli and Ikan Kuning home and pack it in banana leaves with the addition of peanuts, sunny side up eggs, fried chicken wings and luncheon meat!  That would be a meal fit for a sultan!"
Cheng's @ 27,"27 Yong Siak Street, Singapore 168654","
Opening hours:
Lunch: 10:00AM to 3:00PM
Dinner: 5:30PM to 9:00PM
Closed:
Tues",6223 7883,"4.25/5
4/5
4/5","The food at Cheng’s is distinctive and the quality is very good.  Most of our kakis commented that they are surprised that such a wonderful eatery had been able to escape their radar for so long!  It is nice to see a whole family working together to give it that real homey feel.  The only thing that people would complain about is probably the price which tends to be a little on the high side.  But they don’t compromise on the quality of their ingredients, so you are getting only fresh meats and seafood.  As they say, you pay for what you get."
Jiale (H.K.) Roasted Food,"383 Upper Aljunied Road, Teck Huat Eating House, Singapore 367868","
Opening hours:
10:00AM to 8:00PM",97653779,"4.5/5
4.25/5",
Good Chance Popiah,"No. 1 Jalan Berseh, #01-15, New World Centre, Singapore 209037","
Opening hours:
11:00AM to 9:30PM",96229445,"4.25/5
4.5/5
4.25/5
4.25/5
4/5
3.5/5","This is my latest go to place for Zi Char.  Local born Ah Boy comes from a family who is entrenched in the local food scene.  He is young, energetic and passionate about food and his persistence in picking the seafood and other ingredients himself every day gives me a glimmer of hope for the future of Singapore Zi Char.  On top of that, the place is comfortable, air conditioned and the prices are nett of gst and service charge.  Call a day ahead and order some of his salted egg crabs.  I think you will like it."
The Durian Tree,"Blk 278 Bukit Batok East Ave 4, Singapore 650278","
Opening hours:
2:00PM to 11:00PM
Closed:
Open daily during durian season",98124148,,Good to see young durianpreneurs who are adopting ethical business tactics.   The Durian Tree has a wide variety of durians which they sell at a reasonable price.  I am told that they will soon be introducing their durian online website (mid July) where you can buy durians online and get it delivered to your home!  It will be interesting to see how that will work out!
Lau Ah Tee Bak Kut Teh Eating House,"Blk 34 Whampoa West #01-67, Singapore 330034","
Opening hours:
7:00AM to 3:00PM",9755 5250,,"Another good place to enjoy old school Bak Kut Teh.  Mr Sim has been selling Bak Kut Teh since 1964 and can be considered one of the 2nd generation pioneers of the dish.  I like the place for its quiet, retro, neighbourhood feel with its rustic kettles steaming away in every corner and for the delicious steamed fish!"
Ubin Kitchen,"357 Joo Chiat Road, Singapore 427602","
Opening hours:
Lunch: 11:30AM to 2:30PM
Dinner: 6:00PM to 11:00PM",63482002,"4.25/5
4.25/5
4/5
4.25/5",Just flash this blog post on your mobile phone and enjoy a 10% discount on your meal!
Motorino,"Merchant's Court #01-01A, 3A River Valley Rd, , Singapore 179020","
Opening hours:
11:30AM to 12:00AM",6334 4968,,
Kanda Wadatsumi,"50 Tras Street, Singapore 078989","
Opening hours:
Lunch: 12:00PM to 3:00PM
Dinner: 6:00PM to 11:00PM
Closed:
Sun/PH",6221 6264,,
HarriAnns Nonya Table,"230 Victoria Street #01-01A Bugis Junction Towers, Singapore 188024","
Opening hours:
8:00AM to 9:00PM","97367449, 62730852, 91917277, 62381200","4/5
4.5/5
4/5","Really good to see new cafes springing up which are serving heritage dishes.  With so many new cafes springing up that is serving generic westernized food, it is really good to know that the food at HarriAnns is traditional and passionately handcrafted.  Next time you are thinking about afternoon tea, do consider a slice of rainbow lapis instead!"
Cafe de Hong Kong,"586 Balestier Rd, Singapore 329898","
Opening hours:
Lunch: 11:30AM to 3:00PM
Dinner: 5:30PM to 12:00AM
Closed:
Mon",6255 3865,"4.5/5
4.25/5
4.5/5
4.5/5
4.25/5
3.5/5
3/5
4/5",Great little eatery to enjoy zi char style food with a Hong Kong twist. Francis is quite a foodie and that makes a big difference to the dishes that he is serving up.  I really think that he should consider changing the name to Zi Char de Hong Kong!
Long Ji Zi Char,"Blk 251 & 253 Outram Road, Singapore 169049","
Opening hours:
Dinner: 5:00PM to 10:45PM
Closed:
Alternate Tues",97905682,"4.5/5
4.25/5
3.75/5",Excellent place for a Cze Char meal.  This is now my go-to place when I feel like a Crab Bee Hoon!  Chef Mac cooks all the dishes himself and infuses his dishes with a nice wok hei.  It is also a good place to go if you are sensitive to MSG as he doesn’t use it in his kitchen.   So go gather your family and friends and head down to Long Ji for a Mac Attack!
Sixties Chaozhou Traditional Minced Meat Noodle,"Seng Poh Road Blk 71 #01-49, Singapore 160071","
Opening hours:
7:30AM to 2:00PM
Closed:
Thurs",83723913,,
,,,,,
,,,,,"We enjoyed the excellent inflight service by
and stayed at
which is smack in the middle of old Madrid, just a stone’s throw away from the Royal Palace."
Tiong Hoe Specialty Coffee,"170 Stirling Road #01-1133, Singapore 140170","
Opening hours:
8:30AM to 5:30PM",6473 1133,,"There is much more that I can write about, but I won’t spoil the joy of discovery for you. If you are a lover of coffee, this unassuming little cafe located under a block of HDB flats is an essential stop on your own pilgrimage to coffee epiphany."
Swee Kee Fish Head Noodle House,"96 Amoy Street, Singapore 069916","
Opening hours:
Lunch: 11:45AM to 2:30PM
Dinner: 5:30PM to 10:45PM",62249920,,
Jin Ji Teochew Braised Duck,"Blk 335, Smith Street #02-156 , Singapore 005335","
Opening hours:
10:30AM to 6:30PM
Closed:
Friday",9018 9052,,"Singapore cuisine is constantly evolving since we are always opened to new ideas.  I am glad to see a new generation of hawkers innovating and improving on our cuisine while keeping to tradition at the same time.  Older Singaporeans might baulk at the idea of a bento, but he has to be able make a traditional dish more attractive to younger Singaporeans who might otherwise settle for a bowl of Ramen instead."
Hong Seng Curry Rice,"Blk 85 Redhill Lane #01-74, Singapore 150085","
Opening hours:
10:30AM to 11:00PM
Closed:
Thursday",98762288  Lim Jia Han,"4.5/5

4.25/5
4/5","Judging from the number of young hawkers entering the Hainanese Curry Rice trade, I think the future of this particular Singapore hawker dish is quite good.  It is the kind of stall which you can visit everyday to get a “homecooked” meal and I can see the potential for one of these surrogate home kitchens in every hawker centre.  Long live Hainanese Curry Rice!"
29 Delights,"Blk 29 Bendemeer Food Centre Stall 29,  29 Bendemeer Road 330029, Singapore 330029","
Opening hours:
7:30AM to 2:30PM
Closed:
Wed",91763093  Lim Poh Choo,,
Teru Sushi,"50, Tiong Bahru Road, #01-01 Singapore (Link Hotel), Singapore 168733","
Opening hours:
lunch: 12:00AM to 2:30PM
Dinner: 6:30PM to 3:00AM
Closed:
Sunday lunch as usual, dinner 6.30pm to 10.30pm",6438 5394,,
Kok Sen Restaurant,"30-32 Keong Saik Road, Singapore 089137","
Opening hours:
Lunch: 12:00PM to 2:30PM
Dinner: 5:00PM to 11:30PM",62232005,"
4.25/5
4/5

4/5",
Wang Yuan Fish Soup,"866A Tampines St 83, Tampines Central Community Complex, Singapore 520866","
Opening hours:
9:30AM to 8:00PM
Closed:
Alternate Fridays",81124033,4/5,
Malaysian Food Street,"Resorts World Sentosa, 8 Sentosa Gateway, Singapore 098269","
Opening hours:
11:00AM to 10:00PM
Closed:
Wed",,,
,,,,,"We enjoyed the excellent inflight service by
and stayed at
which is smack in the middle of old Madrid, just a stone’s throw away from the Royal Palace."
,,,,,"For more Tokyo Eats,
."
Medan Town,"253 Tanjong Katong Road, Singapore 437041","
Opening hours:
11:00AM to 10:00PM
Closed:
Mondays","63489227, 91862026","4/5

4.5/5",
Master Prata.com,"109 Bukit Purmei Road, #01-157 	, Singapore 090109","
Opening hours:
7:00AM to 9:15PM",91424201,4.25/5,Great place to re-discover the crispy Jalan Kayu style prata!  Kudos to Asraf for his persistence in preserving his family recipe and for making his own dough!  We need more prata guys like him who are still making artisanal prata to stem the trend of generic factory made prata dough!
The Naked Finn,"41 Malan Road, Gillman Barracks, Singapore 108454","
Opening hours:
Lunch: 12:00PM to 2:00PM
Dinner: 6:00PM to 10:00PM
Closed:
Sundays",+ 65 66940807,,"There are few things as sexy and seductive in the culinary world as a bright red lobster.  But like a lot of politicians, they tend to over-promise and under-deliver.  How many times have you eaten lobster and gone away thinking that you paid a lot of money just to look at a beautiful shell while the meat itself was nothing  to rave about? When was the last time you really experienced a lobster’s rich, briny, sweet, crustacean flavour?  You know the kind of full on flavour that you find in a great lobster bisque which is missing in a cold, boiled lobster? The real treasure of the lobster lies in the head where the tomally (liver) is as well as in the shell which contain carotenoid pigments.  These are the pigments that turn from green to red when the lobster is cooked and is a good indicator of flavour power! The actual meat from tail is mild tasting and lacks that flavour punch that is released only when you cook the shell. I guess that is why I wasn’t really swept up in the whole lobster roll craze last year.  The last time I ate a lobster sandwich was at
which was a little  seafood shack in Boston famous for its lobster sandwich.  It was good but not so good that it would be the one thing I must eat again on my next trip to Boston. That all changed when I tasted the lobster roll at The Naked Finn.  Ken Loon had told me about his lobster roll since he introduced it last year, but it wasn’t until I saw that it was listed as the best lobster roll in the
that I thought it is time to see what the fuss was all about. Most of the lobster rolls that we are familiar with are cold lobster rolls which is the version popular in Maine.  With this version, cold lobster meat is tossed in mayonnaise and served in a warm buttered bun.  In Connecticut where the
, there are actually two versions.  A warm lobster roll and a cold version known as a lobster salad roll. Naked Finn serves a warm lobster roll because my crusty friend, Ken Loon knows that you can only tease the flavour out of a lobster by using the high heat from a cast iron hot plate.  Those carotenoid pigments turns the butter into a fiery orangey red oil packed with intense lobster flavour.   Ken Loon only uses live maine lobsters and dispatches the lobster only when the orders come in. The bread is a locally sourced soft bun with a thin, light crust which is lightly buttered on the outside and toasted on the hot plate.  Once the lobster meat is ready, it is quickly tossed in a bit of home made mayonnaise and stuffed into the bun.  It might sound simple but when you get the simple things right, the result is simply out of this world!

The Lobster Roll at The Naked Finn is not your typical cold lobster sandwich!  If you have eaten cold lobster sandwich and went away wondering why you spent all that money, then The Naked Finn’s warm lobster sandwich might just change your mind!  $29 is expensive for a sandwich  but as far as lobster sandwiches go, it is pretty much mid range.  (prices across Singapore range from $19.90 to $49.90).  My only grouse is that the sandwich leaves me just half full and craving another one!"
