restname,address,opening hours,contact
Vittles,"369 Sembawang road, #01-05 Sembawang Cottage (Same bldg as Mac’s), Singapore","
Opening hours:
Sun to Thu: 11:00AM to 10:00PM
Fri & Sat: 11:00AM to 11:00PM
PH: 11:00AM to 11:00PM
Closed:
Mondays",67561138
,,,
Hooked on Heads,"Tower 2, #01-01/02, Sin Ming Plaza 6, Sin Ming Road, Singapore","
Opening hours:
(Not available)",64554948
,,,
Saravana Bhavan,"86 Syed Alwi Road, Singapore 207663","
Opening hours:
7:30AM to 11:00PM",62977755
,,,
Prince Coffee House,"587 Bukit Timah Road, Coronation Plaza #02-15, Singapore","
Opening hours:
(Not available)",64682088
,,,
Redhill Curry Rice,"Redhill Market and Food Centre, Blk 85 Red Hill Close, #01-95 (Facing Main Road), Singapore","
Opening hours:
10:30AM to 9:30PM
Closed:
Sundays",96523471
,,,
Happy Pot,"Makansutra’s Glutton Bay, Stall nearest the bay, Singapore","
Opening hours:
5:00PM to 12:00AM",
,,,
Ho Hup Soya Bean,"Blk 51 Old Airport Road Hawker Centre, #01-162, Singapore","
Opening hours:
9:00AM to 9:00PM
Closed:
Mondays",96820462
,,,
Wow Wow West,"#01-301 Bukit Merah View Market and Food Centre, Block 115 Bukit Merah View, Singapore","
Opening hours:
10:00AM to 11:00PM",93808571
,,,
Greenwood Fish Market & Bistro,"34 Greenwood Avenue, Singapore 289236","
Opening hours:
Lunch: 12:00PM to 2:30PM
Dinner: 6:30PM to 10:00PM
Closed:
Mondays and PH",64674950
,,,
Tuckshop,"21 Tanjong Pagar Road, #01-05, Singapore","
Opening hours:
(Not available)",
,,,
Seng Kee Bak Chor Mee,"Serangoon Gardens Food Centre, Stall 4, Singapore","
Opening hours:
7:30AM to 3:00PM
Closed:
Mondays",84390434
,,,
Warong Nasi Pariaman,"738 North Bridge Road, Singapore","
Opening hours:
7:30AM to 8:00PM
Closed:
Sundays and PH",62922374
,,,
Charcoal Fried Hokkien Mee,"324T Changi Road Kim San Leng Food Centre, Singapore","
Opening hours:
11:00AM to 10:00PM
Closed:
Tuesdays",81823745 SMS/Call to order half an hour for pickup
,,,
Food for Thought,"420 North Bridge Road, North Bridge Centre, #01-06, Singapore","
Opening hours:
9:00AM to 10:00PM
Closed:
Sundays",
,,,
Kok Seng Restaurant,"30-32 Keong Saik Road, Singapore","
Opening hours:
11:30AM to 11:30PM",
,,,
Urban East Bistro & Restaurant,"Esplanade, Colours by the Bay #01-13C, Singapore","
Opening hours:
Sun to Thu: 11:30AM to 10:30PM
Fri to Sat: 11:30AM to 11:00PM",
,,,
Ya Kwang Dai Pai Dong,"709 Geylang Road (Lor 37), Singapore","
Opening hours:
11:00AM to 11:00PM",98170006
,,,
Wine Garage,"30 Merchant Road, #01-07 Riverside Point, Singapore 058282","
Opening hours:
Mon to Thu: 4:00PM to 12:00AM
Fri & Eve : 4:00PM to 01:00AM
Sat & Sun: 11:00AM to 12:00AM",6533 3188
,,,
Jie Bakery & Confectionery,"123 Upper Paya Lebar Road, Singapore","
Opening hours:
12:00AM to 12:00AM
Closed:
Fridays mornings",62811377
,,,
The Prata Place,"1 Thong Soon Ave, Springleaf estate, Singapore","
Opening hours:
7:30AM to 12:00AM",
,,,
Gideon 300,"HDB Hub, Gourmet Paradise Food Court #B1-24, Singapore","
Opening hours:
8:30AM to 7:30PM
Closed:
Sundays and PH",91901431
,,,
Ya Kwang Dai Pai Dong,"709 Geylang Road (Lor 37), Singapore","
Opening hours:
11:00AM to 11:00PM",98170006
,,,
Eighteen Chefs,"Eastpoint Mall, 3 Simei Street 6 #01-36, Singapore","
Opening hours:
12:00PM to 11:00PM",67821298
,,,
Wiener Kaffeehaus Pte Ltd,"148 Neil Road, Singapore","
Opening hours:
10:00AM to 10:00PM",62263148
,,,
Chao Zhou Fishball Noodles,"2 Orchard Turn, ION Orchard, Basement 4, Singapore","
Opening hours:
Mon to Thu: 8:00AM to 10:00PM
Fri, Sat: 8:00AM to 11:00PM
Sunday: 10:00AM to 10:00PM
Closed:
Fridays",
,,,
Tong Ya Coffeeshop,"36 Keong Saik Road, Singapore","
Opening hours:
Mon to Sun: 11:00AM to 2:30PM
Mon to Fri: 5:30PM to 10:30PM
Sat & Sun: 5:30PM to 11:00PM
Closed:
Wednesdays",62235083
,,,
Ah Peng Bak Koot Teh,"No. 3 Seng Poh Road, Soon Soon Huat Eating House, Singapore","
Opening hours:
7:30AM to 2:30PM",62225434
,,,
Cafe Oliv,"220 East Coast Road, Singapore","
Opening hours:
Mon to Sat: 11:30AM to 12:00AM
Sunday: 8:00AM to 12:00AM",63443114
,,,
House of Lobsters,"ITE College East, 10 Simei Ave, #01-33 Business Block, Singapore","
Opening hours:
(Not available)",67862777
,,,
Grains,"CENTRAL, 6 Eu Tong Sen Street, #02-92, Singapore","
Opening hours:
(Not available)",65347707
,,,
Loong Fatt Eating House & Confectionery,"No. 639 Balestier Road, Singapore 329922","
Opening hours:
(Not available)",62534584
,,,
Eighteen Chefs,"Eastpoint Mall, 3 Simei Street 6 #01-36, Singapore","
Opening hours:
12:00AM to 11:00PM",67821298
,,,
Koung’s Wan Tan Mee,"205 Sims Ave, Geylang Lor 21A, Singapore","
Opening hours:
7:30AM to 8:30PM
Closed:
Mondays",67480305
,,,
Fu Lin Tou Fu Yuen,"721 East Coast Road, Singapore","
Opening hours:
8:30AM to 8:30PM",64462363
,,,
Tom Ton Central,"The Central, #03-88/99, Singapore","
Opening hours:
11:30AM to 11:00PM",63277887
,,,
Bee Kia Restaurant,"326 Block 1 Balestier Hill Shopping Centre, Thomson Road, Singapore","
Opening hours:
12:00PM to 11:00PM",62548490
,,,
Paradize on Earth,"200 Tanjung Katong Road, Singapore","
Opening hours:
11:00AM to 3:00PM
6:00PM to 11:00PM",6345 9272
,,,
Hilmi Sarabat Stall,"Marine Parade Food Centre, #01-146, Singapore","
Opening hours:
5:30AM to 11:00PM",
,,,
Yummy Wontan Mee,"Blk 137 Tampines Round Mkt and Food Centre, #01-45, Singapore","
Opening hours:
5:00AM to 3:00PM",93804478
,,,
Ya Kwang Kway Chap,"709 Geylang Road (Lor 37), Singapore","
Opening hours:
11:00AM to 11:00PM",98170006
,,,
Outram Park Ya Hua Rou Gu Char,"No 7 Keppel Road #01-05/07, PSA Tanjong Pagar Complex, Singapore","
Opening hours:
Tues-Sat: 7:00AM to 3:00AM
Sun: 6:00PM to 1:00AM
Closed:
Mondays",Frankie Gwee 62229610 / 98241066
,,,
Mr Wong Seremban Beef Noodle,"Blk 84 Marine Parade Central #01-184, Singapore","
Opening hours:
11:00AM to 8:30PM",
,,,
Xing Long Cooked Food,"Blk 84 Marine Parade Food Centre #01-185 (Corner Store near Parkway Parade), Singapore","
Opening hours:
11:00AM to 8:30PM
Closed:
Sundays",Annie 97574143
,,,
Big Eater Seafood,"34 Jalan Pari Burong  Picardy Gardens , Singapore","
Opening hours:
(Not available)",62457268
,,,
Ice Cream Chefs,"520 East Coast Road #01-06 (Ocean Park) Beside St. Patricks School & Along East Coast Road , Singapore 64466355","
Opening hours:
Sun to Thu: 12:00PM to 10:00PM
Fri to Sat: 12:00PM to 11:00PM",
,,,
Lion City Frog Porridge,"235 Geylang Road (Lor 9) , Singapore","
Opening hours:
5:00PM to 3:30AM",67468105
,,,
The Daily Scoop Ice Cream Cafe,"41 Sunset Way #01-04, Clementi Arcade, Singapore","
Opening hours:
Mon to Thu: 11:00AM to 9:00PM
Fri to Sat: 11:00AM to 10:00PM
Sunday: 2:00PM to 9:00AM",64633365
,,,
Kay Lee Roast Meat Joint,"125 Upper Paya Lebar Road, Singapore","
Opening hours:
10:00AM to 7:00PM
Closed:
Closed on Tuesdays",67438778
,,,
Sheng Seng Fried Prawn Noodles,"Blk 41A Cambridge Road, Stall no #01-40, Singapore","
Opening hours:
(Not available)
Closed:
Mondays",62993981
,,,
Ng Ah Sio Pork Ribs Soup Eating House,"208 Rangoon Road, Singapore","
Opening hours:
6:00AM to 2:00PM
Closed:
Closed on Mondays",62947545
,,,
Epicurious,"#01-02 the quayside 60 robertson quay, Singapore","
Opening hours:
Tue to Fri: 11:30AM to 2:30PM
Tue to Fri: 5:30PM to 9:30PM
Sat & Sun: 9:00AM to 9:30PM",67347720
,,,
Sajis Indian Food,"Blk 262 Waterloo St #01-29 Nan Tai Eating House, Singapore","
Opening hours:
9:00AM to 7:00PM
Closed:
Last Monday of the month",Sabeek 81395647
,,,
Cafe Oliv,"220 East Coast Road, Singapore","
Opening hours:
Mon to Sat: 11:30AM to 12:00PM
Sunday: 8:00AM to 12:00PM",63443114
,,,
Santa Fe All American Tex Mex Grill,"Stewords Riverboat 31 Marina Coastal Drive, Berth 1 Marina South Pier, Singapore","
Opening hours:
(Not available)",62785775
,,,
Ampang Niang Tou Fu,"225, East Coast Road, Singapore 428922","
Opening hours:
11:30AM to 8:30PM",63453289
,,,
Sin Huat Seafood Restaurant,"659/661 Geylang Road Junction of Geylang Lor 35, Singapore","
Opening hours:
6:00PM to 12:00AM",67449755
,,,
Zhen Shan Mei Claypot Laksa,"Blk 120 Bukit Merah Lane 1, #01-75, Alexandra Village, Singapore","
Opening hours:
8:30AM to 3:30PM",90889203
,,,
Leng Heng BBQ Seafood & Claypot Deluxe,"East Coast Lagoon Village Stall No. 6 (Near the beach), Singapore","
Opening hours:
3:30PM to 11:00PM
Closed:
Thursdays",64450513 Lao Ma
,,,
Little Red Shop (611 Tau Sar Piah),"VivoCity #B2-K10, Singapore","
Opening hours:
10:00AM to 10:00PM",63768611
,,,
Perle Noire,"687 East Coast Road, Singapore","
Opening hours:
Mon to Thu: 11:30AM to 12:00PM
Fri to Sun: 11:30AM to 1:00AM
Eve PH/ PH: 11:30AM to 1:00AM",64481732
,,,
Chin Mee Chin Coffee Shop,"204 East Coast Road, Singapore","
Opening hours:
8:30AM to 4:00PM
Closed:
Mondays",63450419
,,,
Putu Piring,"Blk 14 Haig Road, Haig Road Hawker Centre #01-08, Singapore","
Opening hours:
11:00AM to 10:00PM",96883067
,,,
Warong Sudi Mampir,"Blk 14 Haig Road Food Centre #01-19, Singapore","
Opening hours:
Weekdays: 10:30AM to 7:00PM
Weekends: 10:30AM to 5:00PM
Closed:
Wednesdays & Thursdays",64440167
,,,
328 Katong Laksa,"216 East Coast Road, Singapore","
Opening hours:
8:00AM to 10:00PM",97328163
,,,
Fong Kee Roast Duck,"Blk 128 Lor 1 Toa #01-811, Singapore","
Opening hours:
(Not available)",62515192
,,,
Lau Hong Ser Rojak,"Dunman Road Food Centre Stall #02-14, Singapore","
Opening hours:
4:38AM to 1:38PM
Closed:
Sundays",63466519
,,,
Casuarina Curry,"126 Casuarina Road off Upper Thomson, Singapore","
Opening hours:
Weekdays: 7:00AM to 11:30PM
Wednesday: 7:00AM to 12:00PM
Eve PH: 7:00AM to 12:00PM",64559093
,,,
The Beef House,"217 Syed Alwi Road Gar Lok Eating House, Singapore","
Opening hours:
9:00AM to 6:00PM
Closed:
Fridays",96654919 / 98215463
,,,
Wah Kee Prawn Noodles,"Blk 41A Cambridge Road Hawker Centre (Pek Kio) #01-15, Singapore","
Opening hours:
7:30AM to 2:00PM
Closed:
Mondays",96883633
,,,
Sitara Restaurant,"291 Serangoon Road #01-01 Serangoon Building (Opp Mustafa’s), Singapore","
Opening hours:
(Not available)",62913211
,,,
Shanghai People,"Blk 151 Ang Mo Kio Ave 5 #01-3046, Singapore","
Opening hours:
12:00PM to 10:00PM
Closed:
Mondays",63686927
,,,
The Roti Prata House,"246M Upper Thomson Road, Singapore","
Opening hours:
12:00AM to 12:00AM",64595260
,,,
Al-Ameen Eating House,"No. 2,3,4 Cheong Chin Nam road (Opposite Beauty World Centre), Singapore","
Opening hours:
12:00AM to 12:00AM",64621996
,,,
Hwa Nam Restaurant,"244F Upper Thomson Road, Singapore","
Opening hours:
7:00AM to 11:45PM
Closed:
Mondays except Public Holiday",64533645
,,,
Fishermen’s Wharf,"27/29 New Bridge Road (Opposite Central Shopping Centre), Singapore","
Opening hours:
11:30AM to 10:00PM",97876018
,,,
Boon Tong Kee Kway Chap Braised Duck,"Zion Riverside Food Centre Stall 24, Singapore","
Opening hours:
11:30AM to 10:30PM",91849881
,,,
Lee Tong Kee Ipoh Sar Hor Fun,"278 South Bridge Road, Singapore","
Opening hours:
10:00AM to 9:00PM",62260417
,,,
Le Wai Tian Seafood,"324T Changi Road, Singapore","
Opening hours:
5:00PM to 11:45PM",64408937 / 93987371
,,,
Chin Chin Eating House,"19 Purvis Street, Singapore","
Opening hours:
(Not available)",63374640
,,,
Zi Yean Restaurant,"Blk 56 Lengkok Bahru #01-443, Singapore","
Opening hours:
(Not available)",64740911
,,,
Godzilla Handmade Tim Sum & Pau,"G C Food Court Blk 623 Elias Mall Jn of Elias Rd & Pasir Ris Dr 3, Singapore","
Opening hours:
7:00AM to 7:00PM",97523815
,,,
Astons Specialties,"119 East Coast Road Opp Katong Mall, Singapore","
Opening hours:
(Not available)",91474627
,,,
Changi Lor 108 Fei Lao Seafood,"Blk 86 Bedok North St.4 #01-165 , Singapore 460086","
Opening hours:
11:00AM to 2:00PM
5:00PM to 9:00PM
Closed:
Tuesdays",63464116
,,,
Feng Yun Live Prawn Noodle,"Blk 715 Yishun Street 71, Singapore 760715","
Opening hours:
(Not available)
Closed:
Mondays",81123675
,,,
Tanjong Rhu Pau,"Blk 7, Jalan Batu #01-113, Singapore","
Opening hours:
12:30PM to 8:00PM
Closed:
Sundays",63483817
,,,
Yet Con Chicken Rice & Rest,"25 Purvis St, Singapore","
Opening hours:
11:00AM to 9:30PM",63376819
,,,
Tasty Buds,"333 Joo Chiat Road (Close to Marshall Lane), Singapore","
Opening hours:
(Not available)
Closed:
Mondays",63488525
,,,
The Cookie Museum @ The Raffles City,"252 North Bridge Road, #B1-49 Raffles City Shopping Centre, Singapore 179103","
Opening hours:
11:00AM to 9:00PM",6749 7496
,,,
Jalan Sultan Prawn Mee,"No. 2 Jalan Ayer (Off Geylang Lor 1) Opp Kallang MRT, Singapore","
Opening hours:
8:00AM to 3:30PM
Closed:
67482488",Tuesdays
,,,
Nam San Mackeral Otah,"267 Joo Chiat Road, Singapore","
Opening hours:
11:00AM to 7:00PM",63455542
,,,
Ming Kee Live Seafood,"556 Macpherson Road (Jn Macpherson Lane), Singapore","
Opening hours:
Lunch: 12:00PM to 2:00PM
Dinner: 5:00PM to 11:00PM",67474075 / Ivan Tan 9755 2664
,,,
Butcher House,"464 River Valley Road (Opp Valley Point), Singapore","
Opening hours:
Mon to Thu: 10:00AM to 7:00PM
Fri & Sat: 10:00AM to 8:00PM
Closed:
Sundays",68873464/98339280
,,,
Devagi's Restaurant & Cafe,"#01-03 Thomson Imperial Court 200 Upper Thomson Road, Singapore","
Opening hours:
12:00PM to 3:00PM
6:00PM to 10:00PM
Closed:
Mondays",6255 2440
,,,
Sin Hoe Hin KL Dark Sauce Wanton Mee,"12 Rowell Road, Singapore","
Opening hours:
7:30AM to 1:30PM
Closed:
Tuesdays",62932881
,,,
Samar,"60 Kandahar Street 1 Baghdad Street, Singapore","
Opening hours:
12:00AM to 12:00AM",63980530
,,,
Foong Kee Coffee Shop,"6 Keong Saik road, Singapore","
Opening hours:
11:00AM to 8:00PM
Closed:
Sundays and Public Holidays",96953632
,,,
Fei Fei Wanton Mee,"62 Joo Chiat Place, Singapore","
Opening hours:
Mon to Sat: 6:45AM to 10:00PM
Sunday: 6:45AM to 9:00PM",Serena Lim 97777988
,,,
Cafe Sixth Ave,"On Anamalai Ave which is off the beginning of Sixth Ave, Singapore","
Opening hours:
8:00AM to 8:00PM",94237217
,,,
Mellben Seafood,"Block 211 Lor 8 Toa Payoh #01-11-15, Singapore","
Opening hours:
(Not available)",63533120 / Kelly: 91469932
,,,
Gobi,"112 East Coast Road Katong Mall #03-13, Singapore","
Opening hours:
(Not available)",63452127
,,,
Jang Shou Korean BBQ,"#01-13A/B Esplanade Mall (Colours by the Bay), Singapore","
Opening hours:
11:30AM to 3:00PM
6:00PM to 11:00PM
Sun & PH: 6:00PM to 11:00PM",63378880
,,,
Astons Specialties,"119 East Coast Road Opp Katong Mall, Singapore","
Opening hours:
(Not available)",91474627
,,,
611 Tau Sar Piah,"Sembawang Shopping Centre #B1-13, Singapore","
Opening hours:
10:00AM to 10:00PM",67530611
,,,
Rui Kee Hainanese Chicken Rice,"776 North Bridge Road, Singapore","
Opening hours:
11:00AM to 10:00PM",63964563
,,,
37 Heng Kee House of Steamed Fish,"No 17 Sims Way, Singapore 388829","
Opening hours:
5:00PM to 1:00AM",98481942 Ah Leng (Ms)
,,,
Tandoori Restaurant,"320, Serangoon Road #01-26/27/28, Singapore","
Opening hours:
Breakfast: 8:00AM to 11:00AM
Ala-carte: 11:00AM to 11:30PM","62942232, 62936072 Ceejay Singh 96721090"
,,,
Yong He Eating House,"239-241 Geylang Road, Singapore","
Opening hours:
12:00AM to 12:00AM",67455682
,,,
Prince Taiwan Porridge,"9 Cheong Chin Nam Road, Singapore","
Opening hours:
11:00AM to 3:00PM
5:30PM to 3:00AM",64670289
,,,
786 Merpati Putih,"Geylang Serai Temp Mkt #01-295, Singapore","
Opening hours:
9:00AM to 5:30PM
Closed:
Mondays",91653577
,,,
Victor’s Kitchen,"91 Bencoolen Street Sunshine Plaza #01-21, Singapore","
Opening hours:
10:30AM to 8:00PM
Closed:
Mondays",98382851
,,,
Ohsumi Japanese Restaurant,"5 Koek Road #03-24/28 Cuppage Plaza, Singapore","
Opening hours:
(Not available)",6235 6178
,,,
Al-Azhar Eating Restaurant,"11/11A Cheong Chin Nam Road  (Opp Beauty World) , Singapore","
Opening hours:
12:00AM to 12:00AM",64665052
,,,
Majestic Restaurant,"31-37 Bukit Pasoh road, Singapore 089851","
Opening hours:
(Not available)",65114718
,,,
The Ice Cream Gallery,"20 Eastwood Road #01-13, Eastwood Centre, Singapore","
Opening hours:
(Not available)",62462926
,,,
786 Merpati Putih,"Blk 352, Ubi Ave 1, #07-977, Singapore","
Opening hours:
(Not available)",91653577 / 94251953
,,,
Geylang Briyani Stall (aka Hamid's Briyani),"Geylang Serai Market, Singapore","
Opening hours:
9:00AM to 5:00PM
Closed:
Mondays",98310574
,,,
Haji M Abdul Razak Stall,"#01-335 Geylang Serai Temp Mkt, Singapore","
Opening hours:
(Not available)",Deen 90053695
,,,
Cendol Geylang Serai,"Geylang Serai Mkt #02-107, Singapore","
Opening hours:
9:00AM to 7:00PM",Faizal 94855845
,,,
Toh Kee,"#01-1016A People’s Park Food Centre, Singapore 050032","
Opening hours:
10:30AM to 7:00PM
Closed:
Mondays",63233368
,,,
Teck Kee Wanton Mee,"Blk 1 Tanjong Pagar Plaza #02-04/05, Singapore 082001","
Opening hours:
(Not available)",97984776
,,,
Syed Restaurant,"326 Bedok Road Simpang Bedok, Singapore 469496","
Opening hours:
12:00AM to 12:00AM",62425412
,,,
"Sage, The Restaurant","No. 7 Mohamed Sultan Road, Singapore 238957","
Opening hours:
Lunch: 12:00PM to 2:30PM
Dinner: 6:30PM to 10:30PM
Closed:
Mondays & Public Holidays",6333 8726
,,,
Hock Lam Street Beef Kway Teow,"22 China St, #01-01  Far East Square , Singapore 049564","
Opening hours:
(Not available)",62209290 / 90180508 (Tina Tan)
,,,
Don Your Personal Pie Club,"20 Cross Street #01-34/35/36  China Square Central, Singapore 650228","
Opening hours:
(Not available)",65350925 / 63274344
,,,
Swiss Baeckerei,"97 Frankel Avenue (Look for the humungous Croissant!), Singapore 458222","
Opening hours:
7:30AM to 7:30PM
Closed:
Mondays",64418766
,,,
Ju Shin Jung East,"1018 East Coast Parkway, Singapore 449877","
Opening hours:
(Not available)",6447 9279
,,,
Yakiniku Daidomon,"371 Beach Road #01-07, Keypoint, Singapore 199597","
Opening hours:
(Not available)",62952077
,,,
Loh Mei Specialist,"Blk 32 New Market Road People’s Park Food Centre #01-1110, Singapore 050032","
Opening hours:
(Not available)",65332311
,,,
Ding Xian Lou,"6001, Beach Road #01-50/51 Golden Mile Tower, Singapore","
Opening hours:
11:00AM to 10:30PM",63968376
,,,
Singapore Zam Zam Restaurant,"679,699 North Bridge Road, Singapore","
Opening hours:
8:00AM to 11:00PM",62987011
,,,
Citizoom Minced Fish Noodle,"Blk 117 Aljunied Ave 2 #01-34, Singapore","
Opening hours:
7:00AM to 3:00PM
Closed:
Alternate Thursdays",Jorene Yeo 81254883
,,,
One Li Xiang Seafood Fish Head Steamboat,"Blk 116 Aljunied Ave 2 #01-55 (Just opposite Ng Soon Kee Fish Porridge at the Food Centre), Singapore","
Opening hours:
2:00PM to 11:00PM",Mr Ong 91246906
,,,
Ng Soon Kee Fish & Duck Porridge,"Blk 117 Aljunied Crescent Ave 2  #01-11, Singapore","
Opening hours:
(Not available)
Closed:
Sundays",Ng Hoe Soon 67476014
,,,
Authentic Penang Hawker Food,"Geylang East Food Centre  Blk 117 Aljunied Ave 2 #01-60, Singapore","
Opening hours:
(Not available)
Closed:
Mondays (except Public Holidays)",Lucy Tan 97330658
,,,
Thasevi Food,"237 & 239 Jalan Kayu, Singapore","
Opening hours:
12:00AM to 12:00AM",64811573
,,,
Le Papillon,"28 Maxwell Road #01-02  Reddot Traffic Building , Suriname","
Opening hours:
(Not available)
Closed:
Sundays",63274177
,,,
Famous Islamic Restaurant,"745 North Bridge Road (corner of North Bridge Road and Jalan Kledek) , Singapore 198713","
Opening hours:
10:00AM to 10:00PM",6298 7563
,,,
Yong Huat,"125/127 East Coast Road Jn of Joo Chiat Rd, Singapore","
Opening hours:
8:00AM to 8:00PM",96301370
,,,
Chiew Kee Chicken Noodle House,"32 Upper Cross Street, Singapore Singapore 058339","
Opening hours:
8:00AM to 7:00PM
Closed:
Alternative Wednesdays",62213531
,,,
Tom’s Palette,"100 Beach Road #01-25 Shaw Leisure Gallery, Singapore","
Opening hours:
Mon to Thu: 11:00AM to 9:30PM
Friday: 11:00AM to 10:00PM
Satursday: 12:00PM to 10:00PM
Closed:
Sundays",62965239
,,,
Rong Yi Hong Kong Dim Sum,"Block 1 Rochor Centre #01-506, Singapore 180001","
Opening hours:
8:00AM to 10:00PM",94528227
,,,
Allauddin’s Briyani,"665 Buffalo Road #01-297 Tekka Centre, Singapore","
Opening hours:
8:00AM to 3:00PM",
,,,
Astons Specialties,"119 East Coast Road Opp Katong Mall, Singapore","
Opening hours:
(Not available)",91474627
,,,
Chew Kee Eating House,"8 Upper Cross Street, Singapore 058327","
Opening hours:
9:00AM to 7:00PM
Closed:
Fridays (except Public Holiday)",62220507
,,,
Number 3 Crab Delicacy Seafood Rest,"265 Outram Road (Opp YWCA), Singapore 169059","
Opening hours:
Lunch: 11:30AM to 2:30PM
DInner: 5:00PM to 11:3PM
Closed:
2 days during Chinese New Year",63272148
,,,
Island Creamery,"1F, Serene Centre 10 Jalan Serene, Singapore 258748","
Opening hours:
11:00AM to 10:00PM",64688859
,,,
GoldHill Hakka Restaurant,"299A Changi Road (After the SPC station), Singapore 419777","
Opening hours:
11:30AM to 4:00PM",6842 4283
,,,
Teck Kee Hot and Cold Dessert,"Stall 31 Adam Road Food Centre, Singapore 199583","
Opening hours:
12:00AM to 12:00AM
Closed:
Mondays",64697238
,,,
Wham!burger,"China Square Food Centre #B1-22, Singapore","
Opening hours:
Mon to Fri: 11:00AM to 4:00PM",Wendy 90080604
,,,
Swiss Baeckerei,"97 Frankel Avenue ((Look for the humungous Croissant!)), Singapore 458222","
Opening hours:
7:30AM to 7:30PM
Closed:
Mondays",64418766
,,,
Zi Yean Restaurant,"Blk 56 Lengkok Bahru #01-443, Singapore 150056","
Opening hours:
(Not available)",64740911 (Air-Con); 64710253 (Non Air-Con)
,,,
Sushi Tei,"252 North Bridge Road #03-13/14 Raffles City, Singapore","
Opening hours:
(Not available)",6334 7887
,,,
Mizzy’s Corner,"#01-26 Changi Village Hawker Centre, Singapore","
Opening hours:
7:00AM to 4:00AM",97931103 Mizzy
,,,
Yang Sheng Vegetarian Hub,"532, Macpherson Road, Singapore","
Opening hours:
9:00AM to 9:00PM",67488900
,,,
Weng Kee Ipoh Hor Fun,"Blk 2 #01-04 Changi Village Hawker Centre, Singapore","
Opening hours:
9:00AM to 10:30PM","65456425, 96791389"
,,,
Hong Kong Street Chun Kee,"Blk 125 Bukit Merah Lane 1 #01-190, Singapore","
Opening hours:
(Not available)",62718484/62728484
,,,
Chuan Lai Guo Zhi Wang,"560 Macpherson Road, Singapore","
Opening hours:
8:00AM to 12:30AM",67441252
,,,
Amigo Changi Village Food Centre,"Blk 2 01-34 Changi Village Road , Singapore","
Opening hours:
11:00AM to 10:00PM
Closed:
Tuesdays",94553631
,,,
e.Blackboard,"Blk 25 Bedok South Road #01-87, Singapore","
Opening hours:
12:00PM to 9:00PM
Closed:
Mondays",91776074 (Bryan Lim)
,,,
Happy Chef Western Food,"466 Crawford Lane, Singapore 190466","
Opening hours:
11:00AM to 10:00PM","92749591, 96827000, 63980773"
,,,
Hill Steet Tai Hua Pork Noodle,"Blk 466 Crawford Lane #01-12, Singapore 190466","
Opening hours:
9:30AM to 9:00PM
Closed:
1st and 3rd Monday",62927477
,,,
Wham!burger,"China Square Food Centre B1-22, Singapore 048441","
Opening hours:
Mon to Fri: 11:00AM to 3:00PM",Wendy 90080604
,,,
Saigon Deli,"470 North Bridge Road #01-05 North Bridge Commercial Complex, Singapore 188735","
Opening hours:
(Not available)",63334243
,,,
Guan Dong Wanton Mee,"Maxwell Food Centre Stall 99, Singapore","
Opening hours:
6:30AM to 3:00PM",96378403
,,,
Fatty Cheong,"6 Jln Bukit Merah, ABC Brickworks Food Centre  #01-120, Singapore","
Opening hours:
11:00AM to 8:30PM
Closed:
Thursdays","98824849, 94281983"
,,,
Maxwell Fuzhou Oyster Cake,"Maxwell Road Food Centre Stall 5, Singapore 069184","
Opening hours:
9:00AM to 8:00PM
Closed:
Sunday",93441296
,,,
Hua Kee Hougang Famous Wanton Mee,"Old Airport Road Food Centre #01-02, Singapore 390019","
Opening hours:
11:00AM to 10:50PM
Closed:
Mondays",96201543 Mr Voo
,,,
Wang Wang Crispy Curry Puff,"Old Airport Road Food Centre #01-126, Singapore 390019","
Opening hours:
11:00AM to 11:00PM",Ah Wong 90907009
,,,
Good Morning Nanyang Cafe,"133 New Bridge Road, #03-01, Singapore 059413","
Opening hours:
Mon to Fri: 8:00AM to 7:00PM
Sat and PH: 10:00AM to 6:00PM
Closed:
Good Friday, Christmas and New Year",Byron 81331882
,,,
Meilock Soursop,"Old Airport Road Food Centre #01-82, Singapore","
Opening hours:
11:00AM to 10:00PM
Closed:
Mondays",91059644 Kelvin Khoo
,,,
Bennli by Baker’s Heaven,"Food Court Horizon Causeway Point Level 5 (Enter the Food Court and turn left and walk until you hit the stall), Singapore","
Opening hours:
11:00AM to 10:00PM",65154379
,,,
Erlich’s Wuerstelstand,"3 Trengganu Street, Chinatown Night Market, Singapore","
Opening hours:
3:00PM to 11:00PM",96274882
,,,
Western Barbeque,"Old Airport Road Food Centre #10-53, Singapore 390019","
Opening hours:
(Not available)",64408934 William Lim
,,,
Serangoon Fried Prawn Mee,"56 New Upper Changi Road, Stall no 2 SK Coffeeshop (The older one), Singapore","
Opening hours:
10:30AM to 10:30PM
Closed:
Wednesdays",Mr Francis Neo 97305591
,,,
Mien by FirstPasta,"Bukit Timah Food Centre #02-195, Singapore 588172","
Opening hours:
12:00PM to 9:30PM
Closed:
Tuesdays",James Tan 98583019 /
,,,
Hong Kee Beef NoodleAmoy,"Amoy Street Food Centre #01-42, Singapore","
Opening hours:
Weekdays: 11:00AM to 7:30PM
Weekends: 9:00AM to 2:30PM
Closed:
Public Holidays",63231679
,,,
Shen Ji Seafood Garden,"Blk 40 Holland Drive #01-39, Singapore 270040","
Opening hours:
(Not available)",63411737
